Year,Race,Level,Total,Subtotal
1981,Native American,Undergraduate ,26530,67
1981,Native American,Graduate ,7564,16
1981,Native American,Professional ,972,1
1980,Native American,Overall,34686,107
1980,Native American,Undergraduate ,26398,81
1980,Native American,Graduate ,7323,24
1980,Native American,Professional ,965,2
1979,Native American,Overall,34244,99
1979,Native American,Undergraduate ,26026,74
1979,Native American,Graduate ,7269,23
1979,Native American,Professional ,949,2
1978,Native American,Overall,33555,112
1978,Native American,Undergraduate ,25324,86
1978,Native American,Graduate ,7268,22
1978,Native American,Professional ,963,4
1977,Native American,Overall,33677,121
1977,Native American,Undergraduate ,25218,89
1977,Native American,Graduate ,7485,28
1977,Native American,Professional ,974,4
1976,Native American,Overall,33415,65
1976,Native American,Undergraduate ,24748,46
1976,Native American,Graduate ,7690,14
1976,Native American,Professional ,977,5
1975,Native American,Overall,34994,24
1975,Native American,Undergraduate ,25771,13
1975,Native American,Graduate ,8258,9
1975,Native American,Professional ,965,2
1974,Native American,Overall,34953,29
1974,Native American,Undergraduate ,25828,16
1974,Native American,Graduate ,8192,10
1974,Native American,Professional ,933,3
1973,Native American,Overall,34616,58
1973,Native American,Undergraduate ,25776,34
1973,Native American,Graduate ,7895,22
1973,Native American,Professional ,945,2
1972,Native American,Overall,33824,118
1972,Native American,Undergraduate ,24694,87
1972,Native American,Graduate ,8117,28
1972,Native American,Professional ,1013,3
1971,Native American,Overall,32280,217
1971,Native American,Undergraduate ,23105,170
1971,Native American,Graduate ,8127,42
1971,Native American,Professional ,1048,5
1970,Native American,Overall,34018,349
1970,Native American,Undergraduate ,24558,274
1970,Native American,Graduate ,8458,65
1970,Native American,Professional ,1002,10
1969,Native American,Overall,32759,455
1969,Native American,Undergraduate ,23431,396
1969,Native American,Graduate ,8462,48
1969,Native American,Professional ,866,11
1968,Native American,Overall,31843,625
1968,Native American,Undergraduate ,22944,561
1968,Native American,Graduate ,8046,50
1968,Native American,Professional ,853,14
2017,Black,Overall,47826,2499
2017,Black,Undergraduate ,33624,1973
2017,Black,Graduate ,13210,500
2017,Black,Professional ,992,26
2016,Black,Overall,44880,2317
2016,Black,Undergraduate ,33467,1961
2016,Black,Graduate ,10428,326
2016,Black,Professional ,985,30
2015,Black,Overall,44087,2167
2015,Black,Undergraduate ,32878,1786
2015,Black,Graduate ,10245,349
2015,Black,Professional ,964,32
2014,Black,Overall,43603,2126
2014,Black,Undergraduate ,32579,1743
2014,Black,Graduate ,10037,341
2014,Black,Professional ,987,42
2013,Black,Overall,43398,2172
2013,Black,Undergraduate ,32294,1764
2013,Black,Graduate ,10080,358
2013,Black,Professional ,1024,50
2012,Black,Overall,42883,2160
2012,Black,Undergraduate ,31901,1741
2012,Black,Graduate ,9881,359
2012,Black,Professional ,1101,60
2011,Black,Overall,42606,2156
2011,Black,Undergraduate ,31932,1758
2011,Black,Graduate ,9551,344
2011,Black,Professional ,1123,54
2010,Black,Overall,41949,2186
2010,Black,Undergraduate ,31252,1784
2010,Black,Graduate ,9584,358
2010,Black,Professional ,1113,44
2009,Black,Overall,41918,2472
2009,Black,Undergraduate ,31209,2049
2009,Black,Graduate ,9630,372
2009,Black,Professional ,1079,51
2008,Black,Overall,41495,2524
2008,Black,Undergraduate ,31173,2093
2008,Black,Graduate ,9290,381
2008,Black,Professional ,1032,50
2007,Black,Overall,40923,2467
2007,Black,Undergraduate ,30688,2053
2007,Black,Graduate ,9225,368
2007,Black,Professional ,1010,46
2006,Black,Overall,41180,2516
2006,Black,Undergraduate ,30930,2118
2006,Black,Graduate ,9205,360
2006,Black,Professional ,1045,38
2005,Black,Overall,40510,2398
2005,Black,Undergraduate ,30449,1994
2005,Black,Graduate ,9032,364
2005,Black,Professional ,1029,40
2004,Black,Overall,39516,2382
2004,Black,Undergraduate ,29284,1991
2004,Black,Graduate ,9164,338
2004,Black,Professional ,1068,53
2003,Black,Overall,38872,2522
2003,Black,Undergraduate ,28591,2145
2003,Black,Graduate ,9216,315
2003,Black,Professional ,1065,62
2002,Black,Overall,38263,2335
2002,Black,Undergraduate ,28243,1991
2002,Black,Graduate ,8966,284
2002,Black,Professional ,1054,60
2001,Black,Overall,37684,2265
2001,Black,Undergraduate ,28114,1935
2001,Black,Graduate ,8509,271
2001,Black,Professional ,1061,59
2000,Black,Overall,36936,2324
2000,Black,Undergraduate ,27882,1957
2000,Black,Graduate ,8055,311
2000,Black,Professional ,999,56
1999,Black,Overall,36690,2382
1999,Black,Undergraduate ,27855,2020
1999,Black,Graduate ,7874,301
1999,Black,Professional ,961,61
1998,Black,Overall,36303,2351
1998,Black,Undergraduate ,27452,2017
1998,Black,Graduate ,7910,269
1998,Black,Professional ,941,65
1997,Black,Overall,35979,2316
1997,Black,Undergraduate ,26838,1948
1997,Black,Graduate ,8189,301
1997,Black,Professional ,952,67
1996,Black,Overall,36124,2316
1996,Black,Undergraduate ,26707,1906
1996,Black,Graduate ,8471,342
1996,Black,Professional ,946,68
1995,Black,Overall,36395,2292
1995,Black,Undergraduate ,26665,1866
1995,Black,Graduate ,8794,346
1995,Black,Professional ,961,80
1994,Black,Overall,36137,2219
1994,Black,Undergraduate ,26312,1847
1994,Black,Graduate ,8898,299
1994,Black,Professional ,927,73
1993,Black,Overall,36374,2193
1993,Black,Undergraduate ,26296,1845
1993,Black,Graduate ,9154,277
1993,Black,Professional ,924,71
1992,Black,Overall,35760,2128
1992,Black,Undergraduate ,25812,1792
1992,Black,Graduate ,9021,269
1992,Black,Professional ,927,67
1991,Black,Overall,36081,2112
1991,Black,Undergraduate ,26328,1838
1991,Black,Graduate ,8824,218
1991,Black,Professional ,929,56
1990,Black,Overall,35699,2101
1990,Black,Undergraduate ,26395,1872
1990,Black,Graduate ,8400,182
1990,Black,Professional ,904,47
1989,Black,Overall,34972,1896
1989,Black,Undergraduate ,25908,1732
1989,Black,Graduate ,8157,131
1989,Black,Professional ,907,33
1988,Black,Overall,35970,1730
1988,Black,Undergraduate ,26814,1545
1988,Black,Graduate ,8250,158
1988,Black,Professional ,906,27
1987,Black,Overall,36282,1556
1987,Black,Undergraduate ,27022,1386
1987,Black,Graduate ,8341,145
1987,Black,Professional ,919,25
1986,Black,Overall,36266,1369
1986,Black,Undergraduate ,27147,1205
1986,Black,Graduate ,8175,144
1986,Black,Professional ,944,20
1985,Black,Overall,35928,1263
1985,Black,Undergraduate ,27180,1088
1985,Black,Graduate ,7823,144
1985,Black,Professional ,925,31
1984,Black,Overall,34695,1159
1984,Black,Undergraduate ,26069,1012
1984,Black,Graduate ,7684,124
1984,Black,Professional ,942,23
1983,Black,Overall,34548,1185
1983,Black,Undergraduate ,25930,1006
1983,Black,Graduate ,7644,151
1983,Black,Professional ,974,28
1982,Black,Overall,34849,1155
1982,Black,Undergraduate ,26260,981
1982,Black,Graduate ,7613,156
1982,Black,Professional ,976,18
1981,Black,Overall,35066,1188
1981,Black,Undergraduate ,26530,1010
1981,Black,Graduate ,7564,155
1981,Black,Professional ,972,23
1980,Black,Overall,34686,1219
1980,Black,Undergraduate ,26398,1036
1980,Black,Graduate ,7323,161
1980,Black,Professional ,965,22
1979,Black,Overall,34244,1188
1979,Black,Undergraduate ,26026,1009
1979,Black,Graduate ,7269,160
1979,Black,Professional ,949,19
1978,Black,Overall,33555,1172
1978,Black,Undergraduate ,25324,977
1978,Black,Graduate ,7268,167
1978,Black,Professional ,963,28
1977,Black,Overall,33677,1172
1977,Black,Undergraduate ,25218,943
1977,Black,Graduate ,7485,196
1977,Black,Professional ,974,33
1976,Black,Overall,33415,1219
1976,Black,Undergraduate ,24748,948
1976,Black,Graduate ,7690,237
1976,Black,Professional ,977,34
1975,Black,Overall,34994,1254
1975,Black,Undergraduate ,25771,927
1975,Black,Graduate ,8258,297
1975,Black,Professional ,965,30
1974,Black,Overall,34953,1151
1974,Black,Undergraduate ,25828,855
1974,Black,Graduate ,8192,268
1974,Black,Professional ,933,28
1973,Black,Overall,34616,1298
1973,Black,Undergraduate ,25776,968
1973,Black,Graduate ,7895,293
1973,Black,Professional ,945,37
1972,Black,Overall,33824,1436
1972,Black,Undergraduate ,24694,1094
1972,Black,Graduate ,8117,301
