Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,URM,Illinois,Non-Illinois,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120228 ,LL ,  ,  ,  ,School of Social Work ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120228 ,LL ,783 ,BSW ,0365 ,Social Work ,  ,  ,270,38,231,1,147,11,30,65,0,1,9,6,1,37,8,3,17,102,256,14,10LL0365BSW
120228 ,LL ,783 ,BSW ,0365 ,Social Work ,  ,  ,8,1,7,0,7,0,1,0,0,0,0,0,0,1,0,0,0,1,8,0,10LL0365BSWX
120228 ,LL ,783 ,MSW ,0365 ,Social Work ,  ,  ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10KS0365MSWX
120228 ,LL ,783 ,MSW ,0365 ,Social Work ,5510 ,Advanced Clinical Practice ,150,20,130,0,93,13,14,26,0,0,4,0,0,17,1,0,16,41,143,7,10KS0365MSW
120228 ,LL ,783 ,MSW ,0365 ,Social Work ,5510 ,Advanced Clinical Practice ,221,37,182,2,161,2,32,19,1,0,6,0,0,36,2,0,3,57,209,12,10KS0365MSWX
120228 ,LL ,783 ,MSW ,0365 ,Social Work ,5559 ,Leadership and Social Change ,19,5,14,0,11,1,4,3,0,0,0,0,0,4,1,0,1,7,18,1,10KS0365MSW
120228 ,LL ,783 ,MSW ,0365 ,Social Work ,5559 ,Leadership and Social Change ,34,4,30,0,22,1,4,6,0,0,1,0,0,6,1,1,2,11,30,4,10KS0365MSWX
120228 ,LL ,783 ,NDEG ,0365 ,Social Work ,  ,  ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10KS0365NDEG
120228 ,LL ,783 ,NDEG ,0365 ,Social Work ,  ,  ,3,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10LL0365NDEG
120228 ,LL ,783 ,PHD ,0365 ,Social Work ,  ,  ,30,7,23,0,8,3,4,3,0,0,0,12,0,4,0,0,3,7,12,18,10KS0365PHD
120228 ,LL ,  ,  ,  ,School of Social Work ,  ,***College total*** ,737,113,621,3,454,31,89,122,1,1,20,18,1,105,13,4,42,226,681,56, 
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120228 ,LN ,  ,  ,  ,Center Innov in Teach Learn ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120228 ,LN ,641 ,NDEG ,1249 ,Nondegree-CE ,  ,  ,79,30,49,0,54,10,5,5,0,0,1,1,3,5,0,0,11,10,3,76,10LN1249NDEJ
